id,time,temperature,humidity,air_flow,mrt,pmv,thermal_comfort
1,2025-05-20 09:27:47.565641,28.3,80.5,0.13,27.37,1.0795,Slightly Warm
2,2025-05-20 09:28:14.7825,28.3,80.5,0.26,27.37,0.8026,Normal
3,2025-05-20 09:28:57.617759,28.3,81.0,0.38,27.21,0.5995,Normal
4,2025-05-20 09:29:17.491449,28.3,81.2,0.51,27.04,0.4048,Normal
5,2025-05-20 10:11:44.49626,25.4,57.8,0.13,24.18,-0.0051,Normal
6,2025-05-20 10:12:14.146169,25.4,57.6,0.26,23.97,-0.3223,Normal
7,2025-05-20 10:12:44.676633,25.3,56.9,0.38,23.73,-0.5486,Normal
8,2025-05-20 10:13:14.382973,25.2,56.9,0.51,23.59,-0.77,Normal
9,2025-05-20 10:28:42.120494,25.6,59.2,0.12,24.3,0.0872,Normal
10,2025-05-20 10:29:11.963665,25.7,59.2,0.23,24.14,-0.1943,Normal
11,2025-05-20 10:29:42.325157,25.5,58.2,0.35,24.03,-0.4646,Normal
12,2025-05-20 10:30:12.714317,25.5,57.3,0.47,24.03,-0.5989,Normal
13,2025-05-20 10:30:42.305876,25.5,57.4,0.6,23.96,-0.7005,Normal
14,2025-05-20 10:31:12.032889,25.5,57.5,0.72,23.89,-0.8176,Normal
15,2025-05-20 10:31:42.360089,25.5,57.8,0.85,23.82,-0.8618,Slightly Cool
16,2025-05-20 10:32:12.445233,25.5,58.2,0.97,23.76,-0.8533,Normal
17,2025-05-20 10:32:42.549057,25.5,57.0,1.09,23.7,-0.9398,Slightly Cool
18,2025-05-20 10:33:12.84319,25.5,56.5,1.21,23.65,-1.0115,Slightly Cool
19,2025-05-20 10:33:42.760253,25.5,56.6,1.21,23.65,-1.0115,Slightly Cool
20,2025-05-20 10:34:12.686229,25.4,56.1,1.23,23.62,-1.0553,Slightly Cool
21,2025-05-20 10:34:43.4631,25.4,56.1,1.22,23.62,-1.0504,Slightly Cool
22,2025-05-20 10:35:13.299033,25.4,56.0,1.22,23.62,-1.0506,Slightly Cool
23,2025-05-20 10:35:43.196915,25.4,55.7,1.22,23.62,-1.0486,Slightly Cool
24,2025-05-20 10:36:13.094947,25.4,54.9,1.22,23.62,-1.0379,Slightly Cool
25,2025-05-20 10:36:43.380184,25.4,55.0,1.22,23.5,-0.9889,Slightly Cool
26,2025-05-20 10:37:13.286086,25.4,54.8,1.22,23.5,-0.9839,Slightly Cool
27,2025-05-20 10:37:43.639454,25.4,55.7,1.21,23.5,-0.995,Slightly Cool
28,2025-05-20 10:38:13.711614,25.3,56.6,1.2,23.6,-1.0269,Slightly Cool
29,2025-05-20 10:38:45.021794,25.4,57.3,1.19,23.39,-1.0899,Slightly Cool
30,2025-05-20 10:39:13.515206,25.4,58.1,1.16,23.4,-1.0791,Slightly Cool
31,2025-05-20 10:39:44.025647,25.4,58.4,1.13,23.41,-1.0785,Slightly Cool
32,2025-05-20 10:40:13.953582,25.4,58.4,1.12,23.42,-0.984,Slightly Cool
33,2025-05-20 10:40:44.235331,25.5,58.8,1.12,23.33,-1.0567,Slightly Cool
34,2025-05-20 10:41:13.934641,25.5,59.4,1.12,23.32,-1.0715,Slightly Cool
35,2025-05-20 10:41:44.247222,25.5,58.7,1.11,23.33,-1.0569,Slightly Cool
36,2025-05-20 10:42:14.138529,25.5,57.9,1.1,23.34,-1.0514,Slightly Cool
37,2025-05-20 10:42:44.470296,25.5,57.7,1.08,23.35,-1.035,Slightly Cool
