id,time,temperature,humidity,air_flow,mrt,pmv,thermal_comfort,pmv_aktual
735,2025-05-21 07:51:50.734619,29.9,86.3,0.02,29.03,1.7382,Slightly Warm,1.86
736,2025-05-21 07:52:20.223999,29.9,86.3,0.05,29.03,1.7251,Slightly Warm,1.86
737,2025-05-21 07:52:50.503462,29.9,86.5,0.07,28.96,1.6966,Slightly Warm,1.82
738,2025-05-21 07:53:20.237159,29.8,86.5,0.1,28.9,1.6669,Slightly Warm,1.75
739,2025-05-21 07:53:50.505318,29.8,86.4,0.12,28.88,1.6513,Slightly Warm,1.72
740,2025-05-21 07:54:20.413901,29.8,86.4,0.15,28.86,1.6484,Slightly Warm,1.69
741,2025-05-21 07:54:50.925707,29.8,86.4,0.17,28.84,1.522,Slightly Warm,1.61
742,2025-05-21 07:55:20.646576,29.8,86.4,0.2,28.74,1.369,Slightly Warm,1.51
743,2025-05-21 07:55:50.96385,29.8,86.2,0.22,28.72,1.3036,Slightly Warm,1.45
744,2025-05-21 07:56:20.85976,29.8,86.2,0.25,28.62,1.2238,Slightly Warm,1.36
745,2025-05-21 07:56:51.201969,29.8,86.2,0.24,28.62,1.2846,Slightly Warm,1.39
746,2025-05-21 07:57:21.054515,29.8,86.2,0.24,28.62,1.2846,Slightly Warm,1.39
747,2025-05-21 07:57:51.376819,29.8,86.1,0.24,28.62,1.2846,Slightly Warm,1.38
748,2025-05-21 07:58:21.281123,29.8,85.9,0.25,28.62,1.2238,Slightly Warm,1.36
749,2025-05-21 07:58:51.575274,29.7,86.0,0.24,28.66,1.2532,Slightly Warm,1.36
750,2025-05-21 07:59:21.496653,29.7,85.9,0.24,28.66,1.2532,Slightly Warm,1.36
751,2025-05-21 07:59:52.001171,29.7,85.9,0.24,28.57,1.2399,Slightly Warm,1.35
752,2025-05-21 08:00:21.906565,29.8,85.9,0.24,28.54,1.2712,Slightly Warm,1.37
753,2025-05-21 08:00:52.000844,29.7,86.0,0.25,28.57,1.181,Slightly Warm,1.33
754,2025-05-21 08:01:22.112327,29.8,85.9,0.24,28.54,1.2712,Slightly Warm,1.37
755,2025-05-21 08:01:52.196104,29.8,85.9,0.25,28.53,1.2105,Slightly Warm,1.35
756,2025-05-21 08:02:22.188547,29.7,85.9,0.25,28.56,1.181,Slightly Warm,1.33
757,2025-05-21 08:02:52.411773,29.7,85.6,0.25,28.48,1.1786,Slightly Warm,1.32
758,2025-05-21 08:03:22.347302,29.7,85.8,0.24,28.57,1.2399,Slightly Warm,1.35
759,2025-05-21 08:03:52.654927,29.7,85.9,0.23,28.5,1.2443,Slightly Warm,1.37
760,2025-05-21 08:04:22.76976,29.7,85.5,0.22,28.5,1.2507,Slightly Warm,1.39
761,2025-05-21 08:04:52.843054,29.7,85.4,0.22,28.51,1.2507,Slightly Warm,1.39
762,2025-05-21 08:05:22.7486,29.7,85.5,0.22,28.59,1.2688,Slightly Warm,1.4
763,2025-05-21 08:05:53.043801,29.7,85.5,0.21,28.59,1.319,Slightly Warm,1.42
764,2025-05-21 08:06:22.977982,29.7,85.3,0.22,28.51,1.2507,Slightly Warm,1.39
765,2025-05-21 08:06:53.454585,29.7,85.2,0.22,28.51,1.2507,Slightly Warm,1.38
766,2025-05-21 08:10:10.736644,29.9,87.6,0.09,28.73,1.6519,Slightly Warm,1.77
767,2025-05-21 08:10:40.432422,29.9,87.7,0.19,28.63,1.4486,Slightly Warm,1.55
768,2025-05-21 08:11:10.691636,29.8,87.9,0.28,28.6,1.1599,Slightly Warm,1.32
769,2025-05-21 08:11:40.600027,29.8,87.9,0.37,28.44,0.988,Normal,1.16
770,2025-05-21 08:12:10.937084,29.8,87.6,0.47,28.38,0.8808,Normal,1.03
771,2025-05-21 08:14:13.112677,29.8,88.7,0.03,28.9,1.7144,Slightly Warm,1.84
772,2025-05-21 08:14:43.005528,29.9,88.9,0.07,28.8,1.6884,Slightly Warm,1.82
773,2025-05-21 08:15:13.140963,29.8,89.3,0.16,28.77,1.6127,Slightly Warm,1.67
774,2025-05-21 08:15:43.012983,29.9,88.3,0.26,28.66,1.2151,Slightly Warm,1.39
775,2025-05-21 08:16:13.325962,29.9,86.9,0.35,28.59,1.0271,Slightly Warm,1.21
776,2025-05-21 08:16:43.235182,29.9,86.5,0.44,28.54,0.892,Normal,1.09
777,2025-05-21 08:17:13.303342,29.8,86.5,0.53,28.64,0.8459,Normal,0.98
778,2025-05-21 08:17:43.43193,29.8,86.4,0.63,28.59,0.7223,Normal,0.9
779,2025-05-21 08:18:13.803169,29.8,86.4,0.72,28.55,0.6151,Normal,0.83
780,2025-05-21 08:18:43.657611,29.8,86.4,0.82,28.52,0.5849,Normal,0.77
781,2025-05-21 08:19:13.956987,29.8,86.6,0.88,28.49,0.5829,Normal,0.75
782,2025-05-21 08:19:43.853771,29.8,86.5,0.94,28.59,0.5977,Normal,0.73
783,2025-05-21 08:20:13.977666,29.8,86.5,0.94,28.59,0.5977,Normal,0.73
784,2025-05-21 08:22:09.267506,30.0,86.8,0.09,29.09,1.7007,Slightly Warm,1.83
785,2025-05-21 08:22:39.179575,29.9,86.9,0.19,29.05,1.4852,Slightly Warm,1.6
786,2025-05-21 08:25:24.447007,30.1,86.0,0.09,29.14,1.7218,Slightly Warm,1.85
787,2025-05-21 08:27:58.437164,30.1,85.6,0.09,29.22,1.7608,Slightly Warm,1.86
788,2025-05-21 08:28:28.433286,30.1,85.5,0.19,29.15,1.5415,Slightly Warm,1.64
789,2025-05-21 08:33:45.761755,30.1,85.5,0.09,29.29,1.7608,Slightly Warm,1.87
790,2025-05-21 08:34:50.07195,30.1,85.9,0.19,29.31,1.5596,Slightly Warm,1.67
791,2025-05-21 08:35:20.001039,30.1,85.9,0.28,29.26,1.3045,Slightly Warm,1.44
792,2025-05-21 08:35:50.311759,30.1,85.7,0.36,29.14,1.1586,Slightly Warm,1.29
793,2025-05-21 08:36:20.191066,30.1,86.0,0.45,29.09,0.9615,Slightly Warm,1.18
794,2025-05-21 08:36:50.503152,30.1,86.0,0.54,29.06,0.8776,Normal,1.09
795,2025-05-21 08:37:20.41515,30.2,86.2,0.62,28.96,0.8367,Normal,1.04
796,2025-05-21 08:37:53.834638,30.1,86.3,0.71,28.99,0.6603,Normal,0.96
797,2025-05-21 08:38:20.611543,30.1,86.0,0.8,28.96,0.6411,Normal,0.9
798,2025-05-21 08:38:59.733342,30.2,85.9,0.89,28.96,0.6324,Normal,0.88
799,2025-05-21 08:41:08.95025,30.3,84.8,0.08,29.4,1.7989,Slightly Warm,1.93
800,2025-05-21 08:41:48.193508,30.3,84.8,0.18,29.34,1.5652,Slightly Warm,1.73
801,2025-05-21 08:44:32.113979,30.2,85.5,0.09,29.5,1.8392,Slightly Warm,1.92
802,2025-05-21 08:45:01.827436,30.3,85.4,0.19,29.41,1.5705,Slightly Warm,1.71
803,2025-05-21 08:45:32.131096,30.2,85.3,0.28,29.31,1.3159,Slightly Warm,1.46
804,2025-05-21 08:46:30.268314,30.3,86.4,0.37,29.31,1.1541,Slightly Warm,1.35
805,2025-05-21 08:48:06.447382,30.3,86.1,0.09,29.48,1.8469,Slightly Warm,1.94
806,2025-05-21 08:48:19.348466,30.3,86.1,0.19,29.33,1.5559,Slightly Warm,1.71
807,2025-05-21 08:48:49.453435,30.3,86.7,0.28,29.27,1.308,Slightly Warm,1.5
808,2025-05-21 08:49:19.72741,30.2,87.4,0.36,29.27,1.1644,Slightly Warm,1.35
809,2025-05-21 08:49:49.665702,30.2,86.8,0.45,29.23,1.063,Slightly Warm,1.23
810,2025-05-21 08:50:20.001834,30.2,86.6,0.52,29.2,1.0342,Slightly Warm,1.15
811,2025-05-21 08:50:49.846935,30.3,88.6,0.61,29.1,0.9152,Normal,1.13
812,2025-05-21 08:51:20.175151,30.3,88.9,0.7,29.07,0.7132,Normal,1.07
813,2025-05-21 08:51:50.058217,30.3,88.1,0.77,29.04,0.6992,Normal,1.02
814,2025-05-21 08:52:20.400336,30.3,87.1,0.86,29.0,0.6811,Normal,0.95
815,2025-05-21 08:52:50.281983,30.2,87.1,0.83,29.09,0.7012,Normal,0.94
816,2025-05-21 08:53:20.597081,30.3,87.1,0.82,29.02,0.6881,Normal,0.97
817,2025-05-21 08:53:50.515259,30.3,87.0,0.82,29.02,0.6881,Normal,0.96
818,2025-05-21 08:54:20.845364,30.3,87.1,0.82,29.02,0.6881,Normal,0.97
819,2025-05-21 08:54:50.902732,30.2,87.1,0.83,29.09,0.7012,Normal,0.94
820,2025-05-21 08:55:21.029508,30.2,87.0,0.83,29.09,0.7012,Normal,0.94
821,2025-05-21 08:55:50.937279,30.2,87.0,0.82,29.09,0.6993,Normal,0.95
822,2025-05-21 08:56:21.296478,30.2,87.6,0.83,29.09,0.7012,Normal,0.95
823,2025-05-21 08:56:51.652068,30.3,88.1,0.83,29.02,0.69,Normal,0.98
824,2025-05-21 08:57:21.495531,30.3,88.8,0.81,29.02,0.6901,Normal,1.01
