temperature,humidity,air_flow,mrt,pmv
24.2,50.2,0.06,23.88,-0.17
24.2,50.2,0.06,23.88,-0.17
24.2,50.2,0.06,23.88,-0.17
24.2,50.2,0.06,23.88,-0.17
24.2,50.2,0.06,23.88,-0.17
24.2,50.2,0.06,23.88,-0.17
24.2,50.2,0.06,23.88,-0.17
24.2,50.2,0.06,23.88,-0.17
24.2,50.2,0.06,23.88,-0.17
24.2,50.2,0.06,23.88,-0.17
24.2,50.2,0.06,23.88,-0.17
24.2,50.2,0.06,23.88,-0.17
24.2,50.2,0.06,23.88,-0.17
24.2,50.2,0.06,23.88,-0.17
24.2,50.2,0.06,23.88,-0.17
24.2,50.2,0.06,23.88,-0.17
24.2,50.2,0.06,23.88,-0.17
24.2,50.2,0.06,23.88,-0.17
24.2,50.2,0.06,23.88,-0.17
23.6,51.5,0.1,24.87,-0.14
23.6,51.5,0.1,24.87,-0.14
23.6,51.5,0.1,24.87,-0.14
23.6,51.5,0.1,24.87,-0.14
23.6,51.5,0.1,24.87,-0.14
23.6,51.5,0.1,24.87,-0.14
23.6,51.5,0.1,24.87,-0.14
23.6,51.5,0.1,24.87,-0.14
23.6,51.5,0.1,24.87,-0.14
23.6,51.5,0.1,24.87,-0.14
23.6,51.5,0.1,24.87,-0.14
23.6,51.5,0.1,24.87,-0.14
23.8,40.0,0.09,23.48,-0.36
23.5,41.2,0.09,23.18,-0.44
23.8,43.8,0.32,24.67,-0.75
23.7,43.7,0.31,24.57,-0.76
23.9,40.4,0.24,25.29,-0.5
23.8,43.6,0.35,24.48,-0.82
23.8,42.3,0.36,24.25,-0.87
23.8,42.1,0.33,24.68,-0.78
23.8,42.8,0.32,24.67,-0.76
23.8,44.3,0.33,24.46,-0.79
24.4,43.5,0.14,23.88,-0.23
23.8,41.4,0.17,23.8,-0.47
23.6,41.8,0.17,23.6,-0.52
24.3,42.6,0.28,23.88,-0.66
24.1,43.6,0.21,23.71,-0.54
24.0,44.1,0.23,23.8,-0.6
23.4,43.9,0.15,23.22,-0.51
23.9,43.2,0.19,23.71,-0.52
26.0,53.4,0.11,25.84,0.36
24.2,42.1,0.07,24.36,-0.16
23.6,45.9,0.06,23.76,-0.32
24.7,42.2,0.1,24.86,-0.04
25.0,40.9,0.11,24.84,-0.03
24.2,40.2,0.18,24.57,-0.35
23.3,40.8,0.17,22.94,-0.66
23.2,45.2,0.13,22.86,-0.64
22.9,48.9,0.26,22.69,-0.97
23.2,42.2,0.21,22.81,-0.81
24.0,41.0,0.14,22.96,-0.43
24.2,50.0,0.14,23.51,-0.27
25.2,64.0,0.1,25.2,0.24
25.2,64.0,0.1,25.2,0.24
25.2,64.0,0.1,25.2,0.24
25.2,64.0,0.1,25.2,0.24
25.2,64.0,0.1,25.2,0.24
25.2,64.0,0.1,25.2,0.24
25.2,64.0,0.1,25.2,0.24
26.9,63.0,0.02,26.74,0.8
26.9,63.0,0.02,26.74,0.8
26.9,63.0,0.02,26.74,0.8
26.9,63.0,0.02,26.74,0.8
26.9,63.0,0.02,26.74,0.8
26.9,63.0,0.02,26.74,0.8
26.9,63.0,0.02,26.74,0.8
26.9,59.0,0.21,26.33,0.35
26.9,59.0,0.21,26.33,0.35
26.9,59.0,0.21,26.33,0.35
26.9,59.0,0.21,26.33,0.35
26.9,59.0,0.21,26.33,0.35
26.4,59.0,0.21,27.16,0.37
26.9,59.0,0.21,26.33,0.35
26.9,59.0,0.21,26.33,0.35
26.9,59.0,0.21,26.33,0.35
26.9,59.0,0.21,26.33,0.35
26.9,59.0,0.21,26.33,0.35
26.9,59.0,0.21,26.33,0.35
25.8,60.0,0.37,23.04,-0.51
25.8,60.0,0.37,23.04,-0.51
25.8,60.0,0.37,23.04,-0.51
25.8,60.0,0.37,23.04,-0.51
26.4,60.0,0.22,25.82,0.18
26.4,60.0,0.22,25.82,0.18
26.4,60.0,0.22,25.82,0.18
26.4,60.0,0.22,25.82,0.18
26.4,60.0,0.22,25.82,0.18
26.4,60.0,0.22,25.82,0.18
26.4,60.0,0.22,25.82,0.18
24.7,58.0,0.14,24.87,0.06
24.7,58.0,0.14,24.87,0.06
24.7,58.0,0.14,24.87,0.06
24.7,58.0,0.14,24.87,0.06
26.8,48.0,0.01,26.48,0.62
26.8,48.0,0.01,26.48,0.62
26.8,48.0,0.01,26.48,0.62
26.8,48.0,0.01,26.48,0.62
26.8,48.0,0.01,26.48,0.62
26.8,48.0,0.01,26.48,0.62
26.8,48.0,0.01,26.48,0.62
26.8,48.0,0.01,26.48,0.62
26.3,49.0,0.25,25.3,-0.06
26.3,49.0,0.25,25.3,-0.06
26.3,49.0,0.25,25.3,-0.06
26.3,49.0,0.25,25.3,-0.06
26.3,49.0,0.25,25.3,-0.06
26.3,49.0,0.25,25.3,-0.06
26.3,49.0,0.25,25.3,-0.06
25.2,43.0,0.02,25.04,0.11
25.2,43.0,0.02,25.04,0.11
25.2,43.0,0.02,25.04,0.11
25.2,43.0,0.02,25.04,0.11
25.2,43.0,0.02,25.04,0.11
25.2,43.0,0.02,25.04,0.11
25.2,43.0,0.02,25.04,0.11
25.2,43.0,0.02,25.04,0.11
25.2,43.0,0.02,25.04,0.11
30.2,60.0,0.51,29.45,0.81
30.2,60.0,0.51,29.45,0.81
30.2,60.0,0.51,29.45,0.81
30.2,60.0,0.51,29.45,0.81
30.2,60.0,0.51,29.45,0.81
30.2,60.0,0.51,29.45,0.81
30.2,60.0,0.51,29.45,0.81
30.2,60.0,0.51,29.45,0.81
30.2,60.0,0.51,29.45,0.81
26.7,67.0,0.17,26.34,0.52
26.7,67.0,0.17,26.34,0.52
26.7,67.0,0.17,26.34,0.52
26.3,51.0,0.11,25.98,0.41
26.3,51.0,0.11,25.98,0.41
26.3,51.0,0.11,25.98,0.41
26.3,51.0,0.11,25.98,0.41
26.3,51.0,0.11,25.98,0.41
26.3,51.0,0.11,25.98,0.41
26.3,51.0,0.11,25.98,0.41
26.3,51.0,0.11,25.98,0.41
26.3,51.0,0.11,25.98,0.41
26.3,51.0,0.11,25.98,0.41
26.3,51.0,0.11,25.98,0.41
26.3,51.0,0.11,25.98,0.41
26.3,51.0,0.11,25.98,0.41
26.3,51.0,0.11,25.98,0.41
26.3,51.0,0.11,25.98,0.41
26.3,51.0,0.11,25.98,0.41
26.3,51.0,0.11,25.98,0.41
26.3,51.0,0.11,25.98,0.41
26.3,51.0,0.11,25.98,0.41
26.3,51.0,0.11,25.98,0.41
26.2,56.0,0.6,26.2,-0.41
26.2,56.0,0.6,26.2,-0.41
26.2,56.0,0.6,26.2,-0.41
26.2,56.0,0.6,26.2,-0.41
26.2,56.0,0.6,26.2,-0.41
26.2,56.0,0.6,26.2,-0.41
26.2,56.0,0.6,26.2,-0.41
26.2,56.0,0.6,26.2,-0.41
26.2,56.0,0.6,26.2,-0.41
26.2,56.0,0.6,26.2,-0.41
27.9,55.0,0.22,27.52,0.61
27.9,55.0,0.22,27.52,0.61
27.9,55.0,0.22,27.52,0.61
27.9,55.0,0.22,27.52,0.61
27.9,55.0,0.22,27.52,0.61
28.2,48.0,0.16,27.5,0.82
28.2,48.0,0.16,27.5,0.82
28.2,48.0,0.16,27.5,0.82
28.2,48.0,0.16,27.5,0.82
28.2,48.0,0.16,27.5,0.82
28.2,48.0,0.16,27.5,0.82
26.7,47.0,0.25,27.5,0.25
26.7,47.0,0.25,27.5,0.25
26.7,47.0,0.25,27.5,0.25
26.7,47.0,0.25,27.5,0.25
26.7,47.0,0.25,27.5,0.25
27.4,51.0,0.1,27.09,0.77
27.1,52.0,0.16,27.28,0.64
26.8,53.0,0.03,26.8,0.71
26.8,53.0,0.03,26.8,0.71
26.8,53.0,0.03,26.8,0.71
27.1,55.0,0.11,27.1,0.73
27.1,55.0,0.11,27.1,0.73
25.8,66.0,0.16,26.15,0.38
25.8,66.0,0.16,26.15,0.38
25.8,66.0,0.16,26.15,0.38
25.8,66.0,0.16,26.15,0.38
25.8,66.0,0.16,26.15,0.38
25.7,47.0,0.08,25.7,0.32
25.7,47.0,0.08,25.7,0.32
25.7,47.0,0.08,25.7,0.32
25.7,47.0,0.08,25.7,0.32
24.6,46.0,0.02,26.34,0.21
24.6,46.0,0.02,26.34,0.21
24.6,46.0,0.02,26.34,0.21
24.6,46.0,0.02,26.34,0.21
28.8,59.0,1.3,27.71,-0.06
28.8,59.0,1.3,27.71,-0.06
28.8,59.0,1.3,27.71,-0.06
28.8,59.0,1.3,27.71,-0.06
29.2,59.0,1.08,28.53,0.16
29.2,59.0,1.08,28.53,0.16
29.2,59.0,1.08,28.53,0.16
29.2,59.0,1.08,28.53,0.16
26.0,54.0,0.12,26.16,0.38
26.0,54.0,0.12,26.16,0.38
26.0,54.0,0.12,26.16,0.38
26.0,54.0,0.12,26.16,0.38
26.0,54.0,0.12,26.16,0.38
26.0,54.0,0.12,26.16,0.38
24.9,51.0,0.01,24.9,0.1
24.9,51.0,0.01,24.9,0.1
24.9,51.0,0.01,24.9,0.1
24.9,51.0,0.01,24.9,0.1
24.8,53.0,0.01,24.96,0.1
24.8,53.0,0.01,24.96,0.1
25.1,50.0,0.22,26.45,-0.04
25.1,50.0,0.22,26.45,-0.04
25.1,50.0,0.22,26.45,-0.04
25.1,50.0,0.22,26.45,-0.04
25.1,50.0,0.22,26.45,-0.04
25.1,50.0,0.22,26.45,-0.04
25.1,50.0,0.22,26.45,-0.04
25.1,50.0,0.22,26.45,-0.04
25.1,50.0,0.22,26.45,-0.04
25.1,50.0,0.22,26.45,-0.04
25.1,50.0,0.22,26.45,-0.04
25.2,50.0,0.09,25.99,0.29
25.2,50.0,0.09,25.99,0.29
25.2,50.0,0.09,25.99,0.29
25.7,50.0,0.01,25.54,0.32
25.7,50.0,0.01,25.54,0.32
25.7,50.0,0.02,26.49,0.45
25.7,50.0,0.02,26.49,0.45
25.7,50.0,0.02,26.49,0.45
25.7,50.0,0.02,26.49,0.45
25.7,50.0,0.02,26.49,0.45
25.7,50.0,0.02,26.49,0.45
25.6,50.0,0.54,25.86,-0.54
27.8,46.0,0.02,27.8,0.96
27.8,46.0,0.02,27.8,0.96
27.8,46.0,0.02,27.8,0.96
27.8,46.0,0.02,27.8,0.96
27.8,46.0,0.02,27.8,0.96
27.4,43.0,0.03,26.45,0.68
27.4,43.0,0.03,26.45,0.68
27.4,43.0,0.03,26.45,0.68
27.4,43.0,0.03,26.45,0.68
27.4,43.0,0.03,26.45,0.68
27.4,43.0,0.03,26.45,0.68
27.4,43.0,0.03,26.45,0.68
27.5,43.0,0.01,26.71,0.73
28.0,48.0,0.24,28.0,0.56
28.0,48.0,0.24,28.0,0.56
28.6,46.0,0.01,27.82,1.09
28.3,50.0,0.59,28.04,0.12
28.3,50.0,0.59,28.04,0.12
27.6,46.0,0.18,27.6,0.63
27.6,46.0,0.18,27.6,0.63
27.2,43.0,0.02,27.2,0.75
27.2,43.0,0.02,27.2,0.75
27.2,43.0,0.02,27.2,0.75
27.2,43.0,0.02,27.2,0.75
27.2,43.0,0.02,27.2,0.75
25.3,50.0,0.04,25.14,0.2
25.3,50.0,0.04,25.14,0.2
25.3,50.0,0.04,25.14,0.2
25.3,50.0,0.04,25.14,0.2
25.3,50.0,0.04,25.14,0.2
25.3,50.0,0.04,25.14,0.2
25.3,50.0,0.04,25.14,0.2
25.3,50.0,0.04,25.14,0.2
25.3,50.0,0.04,25.14,0.2
28.6,42.0,0.05,28.6,1.17
28.6,42.0,0.05,28.6,1.17
28.6,42.0,0.05,28.6,1.17
28.6,42.0,0.05,28.6,1.17
28.6,42.0,0.05,28.6,1.17
28.6,42.0,0.05,28.6,1.17
28.6,42.0,0.05,28.6,1.17
28.3,44.0,0.04,27.51,0.98
28.3,44.0,0.04,27.51,0.98
28.3,44.0,0.04,27.51,0.98
28.3,44.0,0.04,27.51,0.98
28.3,44.0,0.04,27.51,0.98
28.3,44.0,0.04,27.51,0.98
28.3,44.0,0.04,27.51,0.98
27.1,42.0,0.08,26.31,0.59
27.1,42.0,0.08,26.31,0.59
27.1,42.0,0.08,26.31,0.59
27.1,42.0,0.08,26.31,0.59
27.1,42.0,0.08,26.31,0.59
27.1,42.0,0.08,26.31,0.59
27.0,43.0,0.14,28.36,0.81
27.0,43.0,0.14,28.36,0.81
27.0,43.0,0.14,28.36,0.81
27.0,43.0,0.14,28.36,0.81
27.0,43.0,0.14,28.36,0.81
27.0,43.0,0.14,28.36,0.81
26.7,59.0,0.1,24.96,0.42
26.7,59.0,0.1,24.96,0.42
26.7,59.0,0.1,24.96,0.42
26.7,59.0,0.1,24.96,0.42
26.7,59.0,0.1,24.96,0.42
20.8,59.0,0.05,28.51,-0.1
20.8,59.0,0.05,28.51,-0.1
20.8,59.0,0.05,28.51,-0.1
20.8,59.0,0.05,28.51,-0.1
20.8,59.0,0.05,28.51,-0.1
20.8,59.0,0.05,28.51,-0.1
20.8,59.0,0.05,28.51,-0.1
26.9,60.0,0.08,23.88,0.35
26.9,60.0,0.08,23.88,0.35
27.2,69.0,0.03,27.04,0.94
27.2,69.0,0.03,27.04,0.94
27.2,69.0,0.03,27.04,0.94
27.2,69.0,0.03,27.04,0.94
